year,winners,category
1929,Emil Jannings,Best Actor in a Leading Role
1929,Janet Gaynor,Best Actress in a Leading Role
1929,Tempest,Best Art Direction
1929,Sunrise,Best Cinematography
1929,Lewis Milestone,"Best Director, Comedy Picture"
1929,Frank Borzage,"Best Director, Dramatic Picture"
1929,Wings,"Best Effects, Engineering Effects"
1929,Wings,"Best Picture, Production"
1929,Sunrise,"Best Picture, Unique and Artistic Production"
1929,7th Heaven,"Best Writing, Adaptation"
1929,Underworld,"Best Writing, Original Story"
1929,Joseph Farnham,"Best Writing, Title Writing"
1930,Warner Baxter,Best Actor in a Leading Role
1930,Mary Pickford,Best Actress in a Leading Role
1930,The Bridge of San Luis Rey,Best Art Direction
1930,White Shadows in the South Seas,Best Cinematography
1930,Frank Lloyd,Best Director
1930,The Broadway Melody,Best Picture
1930,The Patriot,"Best Writing, Achievement"
1931,Lionel Barrymore,Best Actor in a Leading Role
1931,Marie Dressler,Best Actress in a Leading Role
1931,Cimarron,Best Art Direction
1931,Tabu: A Story of the South Seas,Best Cinematography
1931,Norman Taurog,Best Director
1931,Cimarron,Best Picture
1931,Paramount Publix Corporation,"Best Sound, Recording"
1931,Cimarron,"Best Writing, Adaptation"
1931,The Dawn Patrol,"Best Writing, Original Story"
1932,Fredric March,Best Actor in a Leading Role
1932,Helen Hayes,Best Actress in a Leading Role
1932,Transatlantic,Best Art Direction
1932,Shanghai Express,Best Cinematography
1932,Frank Borzage,Best Director
1932,Grand Hotel,Best Picture
1932,Flowers and Trees,"Best Short Subject, Cartoons"
1932,The Music Box,"Best Short Subject, Comedy"
1932,Wrestling Swordfish,"Best Short Subject, Novelty"
1932,Paramount Publix Corporation,"Best Sound, Recording"
1932,Bad Girl,"Best Writing, Adaptation"
1932,The Champ,"Best Writing, Original Story"
1934,Charles Laughton,Best Actor in a Leading Role
1934,Katharine Hepburn,Best Actress in a Leading Role
1934,Cavalcade,Best Art Direction
1934,Charles Barton,Best Assistant Director
1934,A Farewell to Arms,Best Cinematography
1934,Frank Lloyd,Best Director
1934,Cavalcade,Best Picture
1934,Three Little Pigs,"Best Short Subject, Cartoons"
1934,So This Is Harris,"Best Short Subject, Comedy"
1934,Krakatoa,"Best Short Subject, Novelty"
1934,A Farewell to Arms,"Best Sound, Recording"
1934,Little Women,"Best Writing, Adaptation"
1934,One Way Passage,"Best Writing, Original Story"
1935,Clark Gable,Best Actor in a Leading Role
1935,Claudette Colbert,Best Actress in a Leading Role
1935,The Merry Widow,Best Art Direction
1935,John Waters,Best Assistant Director
1935,Cleopatra,Best Cinematography
1935,Frank Capra,Best Director
1935,Eskimo,Best Film Editing
1935,The Gay Divorcee,"Best Music, Original Song"
1935,One Night of Love,"Best Music, Score"
1935,It Happened One Night,Best Picture
1935,The Tortoise and the Hare,"Best Short Subject, Cartoons"
1935,La Cucaracha,"Best Short Subject, Comedy"
1935,City of Wax,"Best Short Subject, Novelty"
1935,One Night of Love,"Best Sound, Recording"
1935,It Happened One Night,"Best Writing, Adaptation"
1935,Manhattan Melodrama,"Best Writing, Original Story"
1936,Victor McLaglen,Best Actor in a Leading Role
1936,Bette Davis,Best Actress in a Leading Role
1936,The Dark Angel,Best Art Direction
1936,Clem Beauchamp,Best Assistant Director
1936,Paul Wing,Best Assistant Director
1936,A Midsummer Night's Dream,Best Cinematography
1936,Broadway Melody of 1936,Best Dance Direction
1936,John Ford,Best Director
1936,A Midsummer Night's Dream,Best Film Editing
1936,Gold Diggers of 1935,"Best Music, Original Song"
1936,The Informer,"Best Music, Score"
1936,Mutiny on the Bounty,Best Picture
1936,Three Orphan Kittens,"Best Short Subject, Cartoons"
1936,How to Sleep,"Best Short Subject, Comedy"
1936,Wings Over Everest,"Best Short Subject, Novelty"
1936,Naughty Marietta,"Best Sound, Recording"
1936,The Scoundrel,"Best Writing, Original Story"
1936,The Informer,"Best Writing, Screenplay"
1937,Paul Muni,Best Actor in a Leading Role
1937,Walter Brennan,Best Actor in a Supporting Role
1937,Luise Rainer,Best Actress in a Leading Role
1937,Gale Sondergaard,Best Actress in a Supporting Role
1937,Dodsworth,Best Art Direction
1937,Jack Sullivan,Best Assistant Director
1937,Anthony Adverse,Best Cinematography
1937,The Great Ziegfeld,Best Dance Direction
1937,Frank Capra,Best Director
1937,Anthony Adverse,Best Film Editing
1937,Swing Time,"Best Music, Original Song"
1937,Anthony Adverse,"Best Music, Score"
1937,The Great Ziegfeld,Best Picture
1937,The Country Cousin,"Best Short Subject, Cartoons"
1937,Give Me Liberty,"Best Short Subject, Color"
1937,Bored of Education,"Best Short Subject, One-reel"
1937,The Public Pays,"Best Short Subject, Two-reel"
1937,San Francisco,"Best Sound, Recording"
1937,The Story of Louis Pasteur,"Best Writing, Original Story"
1937,The Story of Louis Pasteur,"Best Writing, Screenplay"
1938,Spencer Tracy,Best Actor in a Leading Role
